16, Абазовка
15, Авангард
5, Авдеевка
1, Аграрное
2, Агрономичное
14, Агрономия
22, Адамполь
11, Аджамка
1, Азовское
8, Акимовка
11, Александрия
11, Александровка
5, Александровка
12, Александровка
15, Александровка
15, Александровка
20, Александровка
10, Александровка
12, Александровск
4, Александрополь
4, Алексеевка
5, Алексеево-Дружковка
12, Алмазная
18, Алтыновка
1, Алупка
1, Алушта
12, Алчевск
5, Амвросиевка
15, Ананьев
7, Андреевка
6, Андреевка
8, Андреевка
4, Андреевка
4, Андреевка
18, Андрияшивка
6, Андрушевка
6, Андрушки
22, Аннополь
7, Анталовцы
21, Антоновка
17, Антоновка
17, Антополь
12, Антрацит
4, Апостолово
14, Арбузинка
1, Армянск
5, Артема
16, Артемовка
5, Артемово
12, Артемовск
5, Артемовск
5, Артемовское
15, Арциз
21, Аскания-Нова
4, Аулы
18, Ахтырка
1, Аэрофлотский
20, Бабаи
23, Бабанка
2, Бабин
17, Бабин
10, Бабинцы
1, Багерово
10, Багрин
17, Базальтовое
23, Байбузы
19, Байковцы
12, Байрачки
8, Балабино
20, Балаклея
2, Балки
4, Баловка
14, Баловное
15, Балта
14, Бандурка
18, Баничи
13, Баня лысовицкая
2, Бар
7, Баранинцы
6, Барановка
20, Барвенково
7, Барвинок
14, Бармашово
10, Барышевка
13, Басовка
24, Батурин
7, Батьево
22, Бахматовцы
24, Бахмач
5, Бахмутское
1, Бахчисарай
14, Баштанка
7, Бедевля
20, Безлюдовка
10, Безпятное
24, Безугловка
19, Белая
5, Белая гора
6, Белая Криница
17, Белая криница
10, Белая Церковь
15, Белгород-Днестровский
13, Белз
16, Белики
3, Белин
15, Белино
5, Белицкое
7, Белки
19, Белобожница
12, Беловодск
18, Беловоды
1, Белоглинка
10, Белогородка
1, Белогорск
22, Белогорье
12, Белое
21, Белозерка
5, Белозерское
23, Белозорье
19, Белокриница
5, Белокузьминовка
12, Белокуракино
18, Белополье
12, Белореченский
24, Белошицкая слобода
20, Белый колодезь
15, Беляевка
6, Бердичев
8, Бердянск
8, Бердянское
7, Берегово
25, Берегомет
19, Бережаны
11, Бережинка
18, Береза
14, Березанка
24, Березанка
10, Березань
13, Березина
15, Березино
24, Березна
14, Березнеговатое
17, Березно
20, Березовка
15, Березовка
7, Березово
20, Берека
3, Берестечко
17, Берестовец
21, Берислав
2, Бершадь
10, Беспечная
6, Бехи
16, Биологичное
20, Бирки
13, Бисковичи
1, Ближнее
20, Близнюки
10, Блиставица
24, Бобрик
12, Бобриково
11, Бобринец
13, Бобрка
24, Бобровица
12, Боброво
7, Богдан
11, Богдановка
18, Богдановка
10, Богдановка
10, Богдановка
22, Богдановцы
20, Богодухов
9, Богородчаны
5, Богоявленка
4, Богуслав
10, Богуслав
9, Боднаров
16, Божковское
19, Боков
15, Болград
9, Болехов
11, Большая Виска
17, Большой Олексин
1, Бондаренково
6, Бондари
6, Бондаривка
3, Боратин
24, Борзна
13, Борислав
10, Борисполь
16, Борки
13, Борки
20, Боровая
10, Боровая
12, Боровеньки
12, Боровское
25, Боровцы
10, Бородянка
21, Борозенское
18, Боромля
24, Боромыки
7, Боронява
10, Бортничи
19, Борщев
15, Борщи
2, Бохоники
25, Бояны
10, Боярка
4, Брагиновка
4, Брагиновка
2, Браилов
14, Братское
4, Братское
2, Брацлав
24, Бригинцы
21, Брилевка
15, Бритовка
10, Бровары
2, Бродецкое
13, Броды
6, Броницкая Гута
9, Брошнив
9, Брошнив-осада
6, Брусилов
13, Брюховичи
12, Брянка
17, Бугаевка
17, Бугрин
14, Бугское
19, Буданов
18, Будивельное
18, Будилка
23, Будище
23, Будки
20, Буды
23, Бужанка
10, Бузовая
23, Бузуков
18, Буймеровка
15, Бурлача балка
22, Буртын
9, Бурштын
18, Бурынь
13, Буск
16, Бутенки
3, Буцин
10, Буча
13, Бучалы
19, Бучач
7, Буштыно
6, Быковка
5, Былбасовка
6, Быстрик
17, Быстричи
2, В.Киреевка
20, Валки
4, Валовое
12, Валуйское
25, Валя кузьмина
23, Валява
13, Ваньковичи
2, Вапнярка
24, Варва
19, Варваринцы
17, Варковичи
7, Вары
8, Васильевка
23, Васильков
10, Васильков
4, Васильковка
20, Васищево
6, Васьковичи
23, Ватутино
20, Ватутино
12, Вахрушево
25, Вашковцы
20, Введенка
21, Великая Александровка
16, Великая Багачка
7, Великая бакта
8, Великая Белозерка
19, Великая Березовица
3, Великая глуша
13, Великая горожанка
7, Великая добронь
24, Великая дорога
24, Великая дочь
21, Великая кардашинка
16, Великая круча
21, Великая Лепетиха
15, Великая Михайловка
5, Великая Новоселка
17, Великая омеляна
18, Великая Писаревка
11, Великая северинка
18, Великая чернеччина
23, Великая яблоновка
19, Великие Борки
18, Великие вильмы
19, Великие гаи
13, Великие Глебовичи
10, Великие гуляки
19, Великие Дедеркалы
21, Великие копаны
6, Великие Коровинцы
16, Великие крынки
7, Великие лазы
7, Великие лучки
13, Великие Мосты
6, Великие низгорцы
20, Великие проходы
17, Великий алексин
7, Великий Березный
20, Великий Бурлук
7, Великий Бычков
19, Великий Глубочек
17, Великий житин
25, Великий кучуров
13, Великий Любень
2, Великий мытник
3, Великий омеляник
15, Великодолинское
13, Великое колодно
13, Великоселки
12, Великоцк
11, Вельшанка
2, Вендичаны
10, Веприк
22, Вербка
4, Вербки
11, Верблюжка
9, Вербовец
23, Вербовец
12, Вергулевка
23, Вергуны
17, Вересневое
6, Вересы
24, Вертиевка
4, Верхнеднепровск
7, Верхнее водяное
13, Верхнее синевидное
1, Верхнесадовое
21, Верхние серогозы
21, Верхний Рогачик
9, Верхний струтинь
8, Верхний токмак первый
23, Верхнячка
8, Верхняя криница
18, Верхняя сыроватка
17, Верхов
9, Верховина
4, Верховцево
14, Веселиново
8, Веселое
21, Веселое
4, Веселое
14, Весняное
25, Виженка
25, Вижница
15, Визирка
1, Вилино
15, Вилково
2, Вилы
23, Вильховец
13, Винники
13, Винники
2, Винница
10, Винницкие ставы
2, Винницкие хутора
1, Виноградное
7, Виноградов
22, Виньковцы
10, Вита-почтовая
1, Витино
11, Витязевка
19, Вишневец
4, Вишневое
10, Вишневое
12, Вишневое
22, Вишневчик
3, Владимир-Волынский
17, Владимирец
17, Владимирец
20, Владимировка
5, Владимировка
11, Владимировка
11, Владимировка
8, Владимировское
11, Власовка
7, Водица
14, Вознесенск
23, Вознесенское
1, Войково
11, Войновка
11, Войновка
2, Войтовка
12, Войтово
22, Войтовцы
22, Волковинцы
5, Волноваха
7, Воловец
10, Володарка
12, Володарск
6, Володарск-Волынский
5, Володарское
4, Волосское
22, Волочиск
20, Волчанск
9, Волчинец
9, Волчковцы
4, Вольногорск
4, Вольное
8, Вольнянск
13, Воля-бартатовская
13, Воля-высоцкая
3, Воля-ковельская
10, Ворзель
18, Ворожба
18, Воронеж
9, Воронов
25, Вороновица
2, Вороновица
13, Вороняки
9, Ворохта
14, Воскресенск
1, Восход
14, Врадиевка
3, Всеволодовка
13, Вузлове
13, Выбрановка
9, Выгода
15, Выгода
4, Выдвиженец
7, Вылок
20, Высокий
8, Высокогорное
21, Высокополье
17, Высоцк
4, Высшетарасовка
10, Вышгород
6, Вышевичи
2, Вышеольчедаев
7, Вышково
18, Вязовое
21, Гавриловка
9, Гавриловка
2, Гавришовка
16, Гадяч
21, Гаевое
11, Гайворон
2, Гайсин
9, Галич
16, Галяво
7, Ганичи
6, Ганнополь
23, Гарбузин
1, Гаспра
10, Гатное
4, Гвардейское
1, Гвардейское
22, Гвардейское
9, Гвоздец
23, Гельмязов
21, Гениченская горка
21, Геническ
5, Георгиевка
18, Герасимовка
1, Геройское
23, Геронимовка
25, Герца
9, Герыня
10, Глеваха
25, Глинница
13, Глиняны
16, Глобино
12, Глубокий
7, Глубокий поток
6, Глубочица
18, Глухов
2, Глуховцы
25, Глыбокая
24, Гнединцы
2, Гнивань
