Почтовый,46.0321,30.1199
Адамовка,48.3167,34.2167
Akhiar,44.5888,33.5224
Ахтырка,45.5500,34.9333
Акимовка,48.9219,36.4835
Aknaszlatina,47.9667,23.8667
Алчевск,48.4689,38.8167
Александрия,51.5048,24.8502
Александрия,48.6696,33.1159
Александрия,49.8114,30.0389
Aleksandrogrigoryevka,48.0500,37.7500
Aleksandromikhaylovka,44.7667,33.5500
Александровка,45.0051,33.7522
Александровск,47.8229,35.1903
Александровка,47.1500,29.8500
Алупка,44.4189,34.0448
Алушта,44.6763,34.4078
Алушта,44.6763,34.4078
Алушта,44.6763,34.4078
Amurnizhne Днепровский,48.5000,35.0667
Амвросиевка,47.7935,38.4777
Ананьев,47.7201,29.9664
Андреевка,48.0201,37.0606
Andrushovka,50.0229,29.0202
Антонов,48.8787,25.6890
Антонова,48.4333,28.7333
Antonovtse,50.2167,25.9333
Антрацит,48.1150,39.0913
Антрацит,48.1150,39.0913
Апостолово,47.6667,33.7333
Апостолово,47.6600,33.7137
Апостолово,47.6600,33.7137
Арциз,45.9919,29.4182
Argin,45.0000,34.4667
Армянска,46.1075,33.6969
Армянск,46.1092,33.6921
Артель,49.7306,36.7147
Artelnoye Александровка,49.0175,36.1639
Артема,48.3718,37.8884
Артемовск,48.5956,37.9999
Артемовск,49.8372,36.0749
Артемовск,48.5956,37.9999
Артемовск,48.4406,38.7320
Артемовский район,48.5667,39.3333
Artemowsk,48.5956,37.9999
Арциз,45.9919,29.4182
Artеmovsk,48.4406,38.7320
Artеmovsk,48.5956,37.9999
Artеmovskiy район,48.5667,39.3333
Audzhikoy,44.6667,34.0167
Аулы,48.5271,34.4949
Авангард,49.4686,36.6228
Авдеевский,48.1399,37.7425
Авдеевский Первая,48.1333,37.7667
Авдеевский Вторая,48.1167,37.7833
Авдеевка,48.1399,37.7425
Avgustinovka,48.0333,35.0333
Аврора,45.7532,33.2683
Автозаводский район,49.0667,33.4167
Айвазовская,44.5833,34.3500
Азамат,45.1333,34.7333
Азовский,45.3167,34.3500
Babiche,50.2167,24.5333
Бабин,48.3274,25.4820
Бабинцы,50.6331,30.0239
Бабинцы,49.4167,24.6167
Baburka,47.7944,35.0546
Багерово,45.3742,36.2970
Бахчисарай,44.7552,33.8578
Бахчисарай,44.7552,33.8578
Бахмач,51.1808,32.7569
Bakumtsy,50.1286,36.0525
Balabino,47.7442,35.2173
Балаклава,44.5143,33.6001
Балаклея,49.4627,36.8595
Балаклея,49.4627,36.8595
Balki,49.3000,35.6333
Балта,47.9355,29.6198
Banovka,46.7507,36.3777
Бар,49.7833,23.4833
Бар,49.0772,27.6826
Barakhty,50.1167,30.3333
Баранова,49.6092,37.4386
Barmashovo,47.0833,32.4500
Барские Chemerisy,49.0669,27.6594
Bartativ,49.8007,23.8177
Барвенково,48.9097,37.0205
Барвенково,48.9097,37.0205
Барышевка,50.2729,28.5487
Барышевский,50.3610,31.3217
Башева,50.8833,25.1833
Баштанка,47.4072,32.4387
Батар,48.0329,22.9625
Batyatychi,50.1075,24.2657
Bavoriv,49.4415,25.7148
Bayrachki,48.3920,38.6017
Благотворительный базар,48.9500,25.5667
Бедевля,48.0000,23.6667
Белая,49.0290,25.7706
Белая,48.2500,28.2167
Белая Гора,48.4814,37.8779
Белая Криница,50.6500,29.4667
Белая Церковь,49.8094,30.1121
Belgoroddnestrovskiy,46.1952,30.3494
Belgorodka,50.3833,30.2167
Беличи,50.4667,30.3500
Beliki,49.2500,34.2833
Belilovka,49.6871,29.0377
Белицкое,48.4064,37.1811
Белогородка,50.3897,30.2253
Belogorovka,48.7358,38.2192
Белогорск,45.0546,34.6019
Белогорский,47.1993,33.1370
Белогорье,47.5264,35.9762
Белокаменка,47.5333,37.8500
Belokamensk,44.6000,33.6000
Belopolje,51.1502,34.3129
Белополье,51.1502,34.3129
Белоус,52.2981,33.6695
Белоус,51.5361,31.1872
Белоусов,49.8578,35.2404
Беловодск,49.2054,39.5828
Белое,48.4928,39.0356
Belozеrka,49.7667,26.1833
Belozеrskoye,48.5356,37.0576
Белз,50.3833,24.0167
Бердичев,49.8993,28.6023
Бердичев,49.8993,28.6023
Бердянск,46.7663,36.7988
Бердянск,46.7663,36.7988
Бердянск,46.7663,36.7988
Бердянск,46.7663,36.7988
Бердичев,49.8993,28.6023
Берег,50.2102,25.6659
Береги,48.2319,22.7459
Берегово,48.2056,22.6442
Берегово,48.2056,22.6442
Beregszеsz,48.2056,22.6442
Берегомет,48.1788,25.3485
Береговский,48.2056,22.6442
Берегово,48.2056,22.6442
Берестечко,50.3575,25.1159
Берестовая,48.7564,38.2453
Березань,50.3112,31.4671
Березанка,46.8526,31.3880
Berezanovka,48.5667,34.9167
Бережаны,49.4423,24.9323
Березовка,49.4500,35.7000
Березно,51.0009,26.7511
Bereznegovata,48.2667,34.4333
Bereznehuvate,47.3078,32.8499
Березники,50.8667,27.4833
Березовский,47.8314,38.0039
Берислав,46.8415,33.4284
Берислав,46.8415,33.4284
Берковец,50.5000,30.3667
Берковец,50.4884,30.3296
Берлин,50.1333,25.0833
Берлин,50.1444,25.0770
Бершадь,48.3678,29.5173
Берислав,46.8367,33.4236
Berеza,51.7333,33.8667
Berеzno,51.0009,26.7511
Berеzovka,45.5833,33.3333
Beshuy,44.7833,34.1000
Bezdrik,50.8703,34.9506
Bezlyudivka,49.8719,36.2952
Безрадичи,50.1667,30.6000
